favorite_count,retweet_count,tweet_id
36218.0,7708.0,892420643555336193
31240.0,5698.0,892177421306343426
23515.0,3777.0,891815181378084864
39514.0,7872.0,891689557279858688
37731.0,8481.0,891327558926688256
19005.0,2845.0,891087950875897856
11066.0,1848.0,890971913173991426
61025.0,17202.0,890729181411237888
26163.0,3913.0,890609185150312448
29900.0,6697.0,890240255349198849
28780.0,6679.0,890006608113172480
26181.0,4549.0,889880896479866881
45079.0,9126.0,889665388333682689
25380.0,4091.0,889638837579907072
14198.0,2057.0,889531135344209921
23639.0,4860.0,889278841981685760
27304.0,4102.0,888917238123831296
24001.0,3870.0,888804989199671297
18525.0,3176.0,888554962724278272
18525.0,3176.0,888554962724278272
20443.0,3161.0,888078434458587136
28383.0,4912.0,887705289381826560
43513.0,10738.0,887517139158093824
64494.0,16416.0,887473957103951883
31582.0,9552.0,887343217045368832
28733.0,5443.0,887101392804085760
32771.0,7000.0,886983233522544640
11245.0,2931.0,886736880519319552
21085.0,4080.0,886680336477933568
19840.0,2891.0,886366144734445568
111.0,4.0,886267009285017600
26264.0,5764.0,886258384151887873
0.0,100.0,886054160059072513
30562.0,6127.0,885984800019947520
33716.0,5830.0,885528943205470208
19221.0,3405.0,885518971528720385
0.0,16896.0,885311592912609280
20544.0,3990.0,885167619883638784
72353.0,16511.0,884925521741709313
26135.0,5092.0,884876753390489601
22802.0,4292.0,884562892145688576
25421.0,5200.0,884441805382717440
68129.0,18533.0,884247878851493888
19147.0,2733.0,884162670584377345
20514.0,3136.0,883838122936631299
42998.0,9020.0,883482846933004288
21273.0,3377.0,883360690899218434
34804.0,6058.0,883117836046086144
22413.0,3557.0,882992080364220416
26533.0,4464.0,882762694511734784
26263.0,5547.0,882627270321602560
42053.0,10562.0,882268110199369728
27502.0,4462.0,882045870035918850
22832.0,3104.0,881906580714921986
47536.0,9744.0,881666595344535552
118.0,7.0,881633300179243008
46408.0,14577.0,881536004380872706
21805.0,4814.0,881268444196462592
16033.0,2548.0,880935762899988482
19972.0,3495.0,880872448815771648
26741.0,5679.0,880465832366813184
25316.0,3804.0,880221127280381952
25911.0,3965.0,880095782870896641
21002.0,3198.0,879862464715927552
297.0,10.0,879674319642796034
22045.0,2908.0,879492040517615616
99299.0,40616.0,879415818425184262
15780.0,2860.0,879376492567855104
0.0,6219.0,879130579576475649
21148.0,4289.0,879050749262655488
17847.0,2452.0,879008229531029506
18185.0,3739.0,878776093423087618
28296.0,6496.0,878604707211726852
0.0,1179.0,878404777348136964
0.0,6094.0,878316110768087041
7267.0,1179.0,878281511006478336
39559.0,6219.0,878057613040115712
74548.0,17342.0,877736472329191424
0.0,73.0,877611172832227328
21335.0,3489.0,877556246731214848
25761.0,4767.0,877316821321428993
25474.0,5114.0,877201837425926144
19469.0,3052.0,876838120628539392
22241.0,4299.0,876537666061221889
17655.0,2172.0,876484053909872640
26313.0,4282.0,876120275196170240
23670.0,3913.0,875747767867523072
20621.0,4510.0,875144289856114688
25826.0,5577.0,875097192612077568
23989.0,4335.0,875021211251597312
26180.0,4249.0,874680097055178752
0.0,13350.0,874434818259525634
24542.0,3770.0,874296783580663808
21397.0,3658.0,874057562936811520
32305.0,9420.0,874012996292530176
32305.0,9420.0,874012996292530176
22833.0,3617.0,873580283840344065
0.0,1469.0,873337748698140672
6757.0,1469.0,873213775632977920
25716.0,4991.0,872967104147763200
13917.0,3428.0,872820683541237760
13917.0,3428.0,872820683541237760
19552.0,3357.0,872620804844003328
38488.0,8336.0,872486979161796608
38488.0,8336.0,872486979161796608
32421.0,7468.0,872122724285648897
35514.0,10144.0,871879754684805121
19117.0,3224.0,871762521631449091
19077.0,3216.0,871515927908634625
0.0,5285.0,871166179821445120
19804.0,5106.0,871102520638267392
21513.0,3541.0,871032628920680449
31849.0,5727.0,870804317367881728
115.0,3.0,870726314365509632
11703.0,2452.0,870656317836468226
78605.0,24546.0,870374049280663552
20763.0,3853.0,870308999962521604
34623.0,7709.0,870063196459192321
34623.0,7709.0,870063196459192321
40340.0,9396.0,869772420881756160
26794.0,5859.0,869702957897576449
15144.0,2905.0,869596645499047938
19381.0,3516.0,869227993411051520
62122.0,13432.0,868880397819494401
0.0,1937.0,868639477480148993
25365.0,4938.0,868622495443632128
9578.0,1937.0,868552278524837888
23012.0,3898.0,867900495410671616
32316.0,6861.0,867774946302451713
15311.0,2325.0,867421006826221569
0.0,112.0,867072653475098625
30673.0,7361.0,867051520902168576
30673.0,7361.0,867051520902168576
19086.0,4486.0,866720684873056260
18371.0,3269.0,866686824827068416
116453.0,32958.0,866450705531457537
49958.0,13350.0,866334964761202691
0.0,7852.0,866094527597207552
24472.0,5268.0,865718153858494464
25270.0,4697.0,865359393868664832
26745.0,7221.0,865006731092295680
30819.0,8155.0,864873206498414592
13929.0,2838.0,864279568663928832
28660.0,8328.0,864197398364647424
19689.0,3893.0,863907417377173506
14601.0,3941.0,863553081350529029
0.0,2288.0,863471782782697472
22758.0,4944.0,863432100342583297
2107.0,89.0,863427515083354112
8404.0,1047.0,863079547188785154
8106.0,2288.0,863062471531167744
18384.0,4855.0,862831371563274240
16371.0,3340.0,862722525377298433
19593.0,4652.0,862457590147678208
71166.0,21842.0,862096992088072192
71166.0,21842.0,862096992088072192
34591.0,10118.0,861383897657036800
16484.0,3912.0,861288531465048066
16035.0,3610.0,861005113778896900
0.0,2032.0,860981674716409858
0.0,759.0,860924035999428608
7198.0,2032.0,860563773140209665
22704.0,5035.0,860524505164394496
17660.0,3324.0,860276583193509888
16040.0,5547.0,860184849394610176
0.0,29341.0,860177593139703809
18844.0,3898.0,859924526012018688
14841.0,3334.0,859851578198683649
17927.0,1487.0,859607811541651456
86570.0,28648.0,859196978902773760
32576.0,12964.0,859074603037188101
0.0,7722.0,858860390427611136
15026.0,3320.0,858843525470990336
20738.0,4629.0,858471635011153920
15203.0,2771.0,858107933456039936
15539.0,2479.0,857989990357356544
33100.0,10147.0,857746408056729600
5692.0,1572.0,857393404942143489
19395.0,4323.0,857263160327368704
218.0,17.0,857214891891077121
0.0,162.0,857062103051644929
18245.0,3816.0,857029823797047296
18245.0,3816.0,857029823797047296
15820.0,2769.0,856543823941562368
11500.0,1801.0,856526610513747968
0.0,646.0,856330835276025856
499.0,15.0,856288084350160898
26905.0,6041.0,856282028240666624
327.0,25.0,855862651834028034
4780.0,938.0,855860136149123072
11526.0,2032.0,855857698524602368
44427.0,17348.0,855851453814013952
25910.0,5226.0,855818117272018944
29013.0,7924.0,855459453768019968
0.0,5752.0,855245323840757760
0.0,43.0,855138241867124737
22164.0,5859.0,854732716440526848
28580.0,6649.0,854482394044301312
18419.0,4538.0,854365224396361728
31224.0,7230.0,854120357044912130
15844.0,3055.0,854010172552949760
27913.0,5568.0,853760880890318849
33905.0,9748.0,853639147608842240
15154.0,3458.0,853299958564483072
0.0,1940.0,852936405516943360
8841.0,1764.0,852912242202992640
14601.0,2102.0,852672615818899456
15971.0,3383.0,852553447878664193
32512.0,9693.0,852311364735569921
19611.0,6676.0,852226086759018497
11250.0,1553.0,852189679701164033
11250.0,1553.0,852189679701164033
0.0,19.0,851861385021730816
15982.0,3398.0,851591660324737024
23840.0,6895.0,851464819735769094
20342.0,5606.0,851224888060895234
30310.0,8930.0,850753642995093505
12898.0,2554.0,850380195714523136
3405.0,322.0,850333567704068097
16078.0,3714.0,850145622816686080
20105.0,4778.0,850019790995546112
30010.0,7443.0,849776966551130114
0.0,4864.0,849668094696017920
15648.0,3101.0,849412302885593088
11265.0,1867.0,849336543269576704
41786.0,8333.0,849051919805034497
24867.0,4245.0,848690551926992896
24402.0,4544.0,848324959059550208
8081.0,720.0,848213670039564288
16129.0,2991.0,848212111729840128
0.0,3208.0,847978865427394560
0.0,425.0,847971574464610304
23243.0,5000.0,847962785489326080
5382.0,1312.0,847842811428974592
6914.0,408.0,847617282490613760
18563.0,3380.0,847606175596138505
20286.0,4255.0,847251039262605312
19687.0,5763.0,847157206088847362
21254.0,3134.0,847116187444137987
19901.0,3879.0,846874817362120707
44222.0,11407.0,846514051647705089
13981.0,3032.0,846505985330044928
31341.0,8929.0,846153765933735936
30778.0,9894.0,846139713627017216
15848.0,2833.0,846042936437604353
28996.0,8597.0,845812042753855489
24996.0,4739.0,845677943972139009
24996.0,4739.0,845677943972139009
7580.0,1785.0,845397057150107648
23161.0,5332.0,845306882940190720
0.0,7572.0,845098359547420673
13544.0,2529.0,844979544864018432
14975.0,3156.0,844973813909606400
14975.0,3156.0,844973813909606400
16369.0,3098.0,844580511645339650
13567.0,2179.0,844223788422217728
15101.0,2919.0,843981021012017153
21340.0,4579.0,843856843873095681
16788.0,2723.0,843604394117681152
21404.0,5979.0,843235543001513987
21404.0,5979.0,843235543001513987
15223.0,3613.0,842846295480000512
6701.0,1270.0,842765311967449089
18030.0,3480.0,842535590457499648
24349.0,5752.0,842163532590374912
13934.0,3012.0,842115215311396866
0.0,14984.0,841833993020538882
25647.0,7766.0,841680585030541313
12622.0,3669.0,841439858740625411
19748.0,5478.0,841320156043304961
15797.0,4625.0,841314665196081154
22814.0,5285.0,841077006473256960
0.0,1759.0,840761248237133825
0.0,16063.0,840728873075638272
174.0,2.0,840698636975636481
12265.0,967.0,840696689258311684
8986.0,1759.0,840632337062862849
