year,city,country,avg_temp
1920,Tunis,Tunisia,18.76
1921,Tunis,Tunisia,18.61
1922,Tunis,Tunisia,18.91
1923,Tunis,Tunisia,17.93
1924,Tunis,Tunisia,19.04
1925,Tunis,Tunisia,18.21
1926,Tunis,Tunisia,18.82
1927,Tunis,Tunisia,19.14
1928,Tunis,Tunisia,18.74
1929,Tunis,Tunisia,17.86
1930,Tunis,Tunisia,18.85
1931,Tunis,Tunisia,19.13
1932,Tunis,Tunisia,18.76
1933,Tunis,Tunisia,18.55
1934,Tunis,Tunisia,18.50
1935,Tunis,Tunisia,18.41
1936,Tunis,Tunisia,18.43
1937,Tunis,Tunisia,19.11
1938,Tunis,Tunisia,18.12
1939,Tunis,Tunisia,18.46
1940,Tunis,Tunisia,18.14
1941,Tunis,Tunisia,18.24
1942,Tunis,Tunisia,18.89
1943,Tunis,Tunisia,19.08
1944,Tunis,Tunisia,18.39
1945,Tunis,Tunisia,19.00
1946,Tunis,Tunisia,19.10
1947,Tunis,Tunisia,19.60
1948,Tunis,Tunisia,18.76
1949,Tunis,Tunisia,18.85
1950,Tunis,Tunisia,18.87
1951,Tunis,Tunisia,18.69
1952,Tunis,Tunisia,19.33
1953,Tunis,Tunisia,18.37
1954,Tunis,Tunisia,18.18
1955,Tunis,Tunisia,19.25
1956,Tunis,Tunisia,18.00
1957,Tunis,Tunisia,18.28
1958,Tunis,Tunisia,18.74
1959,Tunis,Tunisia,18.45
1960,Tunis,Tunisia,18.98
1961,Tunis,Tunisia,19.01
1962,Tunis,Tunisia,18.48
1963,Tunis,Tunisia,18.52
1964,Tunis,Tunisia,18.59
1965,Tunis,Tunisia,18.45
1966,Tunis,Tunisia,18.67
1967,Tunis,Tunisia,18.65
1968,Tunis,Tunisia,18.67
1969,Tunis,Tunisia,18.22
1970,Tunis,Tunisia,18.51
1971,Tunis,Tunisia,18.19
1972,Tunis,Tunisia,18.09
1973,Tunis,Tunisia,18.47
1974,Tunis,Tunisia,18.24
1975,Tunis,Tunisia,18.24
1976,Tunis,Tunisia,17.87
1977,Tunis,Tunisia,18.99
1978,Tunis,Tunisia,18.21
1979,Tunis,Tunisia,18.58
1980,Tunis,Tunisia,17.96
1981,Tunis,Tunisia,18.71
1982,Tunis,Tunisia,19.20
1983,Tunis,Tunisia,18.84
1984,Tunis,Tunisia,18.29
1985,Tunis,Tunisia,18.87
1986,Tunis,Tunisia,18.85
1987,Tunis,Tunisia,19.22
1988,Tunis,Tunisia,19.40
1989,Tunis,Tunisia,19.11
1990,Tunis,Tunisia,19.34
1991,Tunis,Tunisia,18.41
1992,Tunis,Tunisia,18.54
1993,Tunis,Tunisia,18.90
1994,Tunis,Tunisia,19.93
1995,Tunis,Tunisia,19.22
1996,Tunis,Tunisia,18.88
1997,Tunis,Tunisia,19.54
1998,Tunis,Tunisia,19.19
1999,Tunis,Tunisia,19.97
2000,Tunis,Tunisia,19.76
